,Ticker,Name,Sector,Industry,Headquarters,Business Summary
64,2269.HK,WuXi Biologics (Cayman) Inc.,Healthcare,Biotechnology,"Wuxi, China","WuXi Biologics (Cayman) Inc., an investment holding company, provides end-to-end solutions and services for biologics discovery, development, and manufacturing for biologics industry in the People's Republic of China, North America, Europe, Singapore, Japan, South Korea, and Australia. It operates through two segments: Biologics and XDC. The company provides a suite of solutions for biologic discovery, from concept to IND, that seamlessly transits to CMC and downstream process development through its contract research, development, and manufacturing organization platforms, including WuXiBody, SDArBodY, T cell engager, Single B Cell Cloning Technology, WuXia, WuXiUP, WuXiUI, and WuXiHigh. It also engages in the provision of consultation services in relation to the biopharmaceutical technology, international sales contracting services, testing and development of testing technologies, sales and marketing services, production and sales of medicals, and biologics clinical and manufacturing services; production and sale of medicals; vaccine contract development and manufacturing organization (CDMO) and related business; and engages in investment and material supplier activities. The company has a research service agreement with BioNTech SE to discover and investigate monoclonal antibodies for developing next-generation therapeutic product candidates. The company was incorporated in 2014 and is headquartered in Wuxi, China."
65,2313.HK,Shenzhou International Group Holdings Limited,Consumer Cyclical,Textile Manufacturing,"Kowloon, Hong Kong","Shenzhou International Group Holdings Limited, an investment holding company, engages in the manufacture, printing, and sale of knitwear products in Mainland China, European Union, the United States, Japan, and internationally. It produces and sells knitted sportswear, casual wear, and lingerie wear. The company is also involved in the import and export of commodities; aircraft leasing; and property management activities. Shenzhou International Group Holdings Limited was founded in 2000 and is based in Kowloon, Hong Kong."
66,2319.HK,China Mengniu Dairy Company Limited,Consumer Defensive,Packaged Foods,"Causeway Bay, Hong Kong","China Mengniu Dairy Company Limited, an investment holding company, engages in the manufacture and distribution of dairy products under the MENGNIU brand in the People's Republic of China and internationally. It operates through Liquid Milk Business, Ice Cream Business, Milk Formula Business, and Cheese Business, and Other segments. The Liquid Milk Business segment offers ultra-high temperature milk, milk beverages, yogurt, and fresh milk. The Ice Cream Business segment manufactures and distributes dairy-based ice cream. The Milk Formula Business segment manufactures and distributes milk powder. The Cheese Business segment is involved in manufacture and distribution of cheese. The Other segment engages in manufacture of raw materials for daily products; and trading business. It also produces and sells organic food and formula products for babies and toddlers; and provides commercial factoring and financing guarantee services. China Mengniu Dairy Company Limited was founded in 1999 and is based in Causeway Bay, Hong Kong."
67,2331.HK,Li Ning Company Limited,Consumer Cyclical,Leisure,"Beijing, China","Li Ning Company Limited, a sports brand company, engages in the research and development, design, manufacture, marketing, distribution, and retail of sporting goods in the People's Republic of China. The company offers sporting goods, including professional and leisure footwear, apparel, equipment, and accessories under the LI-NING brand. It also develops, manufactures, markets, distributes, and/or sells outdoor sports products under the AIGLE brand; table tennis products under the Double Happiness brand name; fashionable fitness products for dance and yoga under the Danskin brand; and badminton products under the Kason brand name. The company also provides brand licensing, administrative, and property management services. It operates conventional stores, flagship stores, China LI-NING stores, LI-NING 1990 stores, factory outlets, and multi-brand stores under the LI-NING brand. The company was founded in 1990 and is headquartered in Beijing, the People's Republic of China."
68,2359.HK,"WuXi AppTec Co., Ltd.",Healthcare,Diagnostics & Research,"Shanghai, China","WuXi AppTec Co., Ltd., an investment holding company, provides research and manufacturing services to discover, develop, and manufacture spectrum for small molecule drugs and advanced therapies in the People's Republic of China, the United States, Europe, and internationally. The company operates in six segments: WuXi Chemistry, WuXi Testing, WuXi Biology, WuXi ATU, WuXi DDSU, and Others. It offers contract research, development, and manufacturing organization services for new drug development from discovery to commercial covering various categories for various synthetic molecular modalities, including small molecules, oligonucleotides, peptides, and complex conjugates; and biology services and solutions that support stand-alone and integrated projects from target discovery to candidate selection and into the clinic. The company also provides seamless drug and medical device testing services from preclinical testing to clinical trials; an integrated end-to-end solution to accelerate time to market for cell and gene therapies; and drug discovery services to pharmaceutical and biotech customers. In addition, the company offers consulting services for combinatorial chemistry and pharmaceuticals; and develops computer software and databases. Further, it is involved in pharmaceutical research and development; pharmacology, toxicology, and safety evaluation research services; and new drug clinical development and on-site management services. WuXi AppTec Co., Ltd. was founded in 2000 and is headquartered in Shanghai, the People's Republic of China."
69,2382.HK,Sunny Optical Technology (Group) Company Limited,Technology,Electronic Components,"Yuyao, China","Sunny Optical Technology (Group) Company Limited, an investment holding company, engages in designing, researching, developing, manufacturing, and selling optical and optical related products, and scientific instruments. It operates through Optical Components, Optoelectronic Products, and Optical Instruments segments. The Optical Components segment offers vehicle lens sets and optical parts for vehicle light detection and ranging; and virtual reality (VR) perception and interaction lens sets, handset lens sets, glass spherical and aspherical lenses for digital cameras, and other optical components. The Optoelectronic Products segment provides vehicle modules, VR folded path and visual modules, handset camera modules, robotic vision modules, and other optoelectronic modules. The Optical Instruments segment offers intelligent inspection equipment and microscopes. It also offers mobile phone products and solutions; automotive lens, headlight, HUD, LiDAR, optical elements, automotive camera modules, and active safety warning systems; infrared thermal imaging lens, surveillance lens, and video conference lens; and mobile phone parts inspection and automotive camera module manufacturing equipment. In addition, the company provides life science, industrial inspection, metallurgical, polarization, and stereo microscope instruments; image analysis software; AR/VR optic components and sensors, and system modules; location and recognition systems; and microbes and pathological medical inspection devices. Further, it is involved in the research and development of infrared technologies; and import and export agency services. The company operates in China, rest of Asia, Europe, North America, and internationally. Sunny Optical Technology (Group) Company Limited was founded in 1984 and is headquartered in Yuyao, China."
70,2899.HK,Zijin Mining Group Company Limited,Basic Materials,Gold,"Longyan, China","Zijin Mining Group Company Limited, together with its subsidiaries, a mining company, engages in the exploration, mining, processing, refining, and sale of gold, non-ferrous metals, and other mineral resources in Mainland China and internationally. It operates through Environmental Protection, Trading, and Others segments. The company primarily produces gold bullion; copper, gold, zinc, lithium, lead, silver, and molybdenum; iron ore concentrate, cobalt, tungsten, and sulphuric acid and copper cathodes, and zinc bullion, as well as cobalt, tin, coal, lithium, platinum, and palladium. In addition, the company is involved in the trading, investment, and asset management activities; jewelry and jade products; trading of copper cathodes; wholesale of metals and ores; metallurgical engineering technology research services; import and export of goods or technologies; mining technology development, consultation, transfer, etc.; mine geological and technical services; and import and export agent services. Further, it is involved in the production of dust removing and auxiliary equipment, desulphurisation and denitrification engineering projects, soil restoration, and other products; air pollution control; industrial waste water treatment and refuse disposal; and flue gas treatment businesses. The company was formerly known as Fujian Zijin Mining Industry Company Limited and changed its name to Zijin Mining Group Company Limited in June 2004. Zijin Mining Group Company Limited was founded in 1986 and is headquartered in Longyan, the People's Republic of China."
71,3690.HK,Meituan,Consumer Cyclical,Internet Retail,"Beijing, China","Meituan operates as a technology retail company in the People's Republic of China. It operates through Core Local Commerce and New Initiatives segments. The company offers food delivery services; and helps consumers purchase local consumer services provided by merchants in numerous in-store categories or make reservations for hotels, and attraction and transportation ticketing. It also sells goods from B2B food distribution services and Meituan grocery; and engages in various businesses, such as Meituan Select, Meituan Instashopping, ride sharing, bike-sharing and electric mopeds, power banks, and micro-credit services. In addition, it provides cloud computing services; merchant information technology and advisory services; online marketing services; and operates e-commerce service platform. The company was formerly known as Meituan Dianping and changed its name to Meituan in October 2020. Meituan was founded in 2003 and is headquartered in Beijing, China."
72,3692.HK,Hansoh Pharmaceutical Group Company Limited,Healthcare,Drug Manufacturers - Specialty & Generic,"Shanghai, China","Hansoh Pharmaceutical Group Company Limited, an investment holding company, engages in the research, development, production, and sale of pharmaceutical products in the People's Republic of China. The company provides products for therapeutic areas, including anti-infection, central nervous system, oncology, and metabolic and other diseases, as well as autoimmune diseases. Its principal products include Ameile, Hansoh Xinfu, Pulaile, Zefei, Xintai, Xinmei, Gainuo, Tanneng, and Pulaitan; Hengmu, Mailingda, Hengsen, Oulanning, Ailanning, and Ameining; XINYUE; and Saint Luolai, Fulaimei, Ruibote, Fulaidi, Fulairui, Punuoan tablets, etc. It has licence agreements with GlaxoSmithKline Intellectual Property (No.4) Limited to develop, manufacture, and commercialize HS-20089 and HS-20093 for the treatment of patients with extensive-stage small-cell lung cancer (ES-SCLC) with disease progression on or after platinum-based chemotherapy; Biotheus Inc. to develop, produce, and commercialize bispecific antibody-drug conjugate product; and with Merck Sharp & Dohme LLC (MSD) to develop, manufacture, and commercialize HS-10535, an investigational pre-clinical oral small molecule glucagon-like peptide-1 (GLP-1) receptor agonist. The company was founded in 1995 and is headquartered in Shanghai, China. Hansoh Pharmaceutical Group Company Limited is a subsidiary of Stellar Infinity Company Ltd."
73,6618.HK,JD Health International Inc.,Healthcare,Pharmaceutical Retailers,"Beijing, China","JD Health International Inc., an investment holding company, engages in the operation of an online healthcare platform in the People's Republic of China and internationally. It offers pharmaceutical and healthcare products through direct selling and an online retail pharmacy network. The company also provides online medical consultation, consumer healthcare, and health management services; hospital or doctor referral, health check-ups, genetic testing, and beauty care services; and intelligent healthcare solutions, as well as technical and advertising services. The company was incorporated in 2018 and is headquartered in Beijing, the People's Republic of China. JD Health International Inc. is a subsidiary of JD Jiankang Limited."
74,6690.HK,"Haier Smart Home Co., Ltd.",Consumer Cyclical,"Furnishings, Fixtures & Appliances","Qingdao, China","Haier Smart Home Co., Ltd. engages in the research, development, production, and sales of smart home appliances. The company provides refrigerators/freezers, washing machines, dryer, air conditioners, water heaters, kitchen and small appliances, and smart home scene solutions. It offers logistics services; distribution of home appliance business; manufacture and sale of plastic parts, precise plastics, plastic powder and sheet, metal plate, coatings, electronics and hardware products; mold and technological equipment; health-related home appliance; dish washing machine and gas stove; network engineering technology; industrial design and prototype production; development, promotion and transfer of technology; wholesale and retail of medical facility and equipment; development and sales of software and information product; and entrepreneurship investment and consulting services. In addition, the company engages in the sale of digital products, international freight forwarding; sanitary ware; software development; consulting management services; promotion of technological development; technical services; IoT technology and application services; leasing services; scientific research and technology development service; furniture customization; residential interior decoration, professional construction operation, and equipment installation. Further, it offers urban distribution and transportation services; import and export of goods, technology, and food business; big data, AI, and AR operations; professional intermediary activities; waste treatment; integrated service of AI industry application system and technology consulting; production certification service; professional cleaning and sale of food and daily necessities; energy saving technology; and advertisement design. The company was formerly known as Qingdao Haier Co., Ltd. and changed its name to Haier Smart Home Co., Ltd. in June 2019. The company was founded in 1984 and is headquartered in Qingdao, China."
75,6862.HK,Haidilao International Holding Ltd.,Consumer Cyclical,Restaurants,"Beijing, China","Haidilao International Holding Ltd., an investment holding company, engages in the restaurant operation and delivery businesses. The company through operates through Restaurant Operation, Delivery Business, and Sales of Condiment Products and Food Ingredients segments. It also operates a Haidilao branded Chinese cuisine restaurant that offers hot pot cuisine. In addition, the company is involved in the technology; hotel operation; property investment management and consulting; and trading businesses. It owns and operates restaurants in Mainland China, Hong Kong, Macau, and Taiwan. The company was founded in 1994 and is headquartered in Beijing, the People's Republic of China."
76,9618.HK,"JD.com, Inc.",Consumer Cyclical,Internet Retail,"Beijing, China","JD.com, Inc. operates as a supply chain-based technology and service provider in the People's Republic of China. The company offers computers, communication, and consumer electronics products, as well as home appliances; and general merchandise products comprising food, beverage and fresh produce, baby and maternity products, furniture and household goods, cosmetics and other personal care items, pharmaceutical and healthcare products, industrial products, books, automobile accessories, apparel and footwear, bags, and jewelry. It also provides online marketplace services for third-party merchants; marketing services; and omni-channel solutions to customers and offline retailers, as well as online healthcare services. In addition, the company develops, owns, and manages its logistics facilities and other real estate properties to support third parties; offers asset management services and integrated service platform; leasing of storage facilities and related management services; and engages in online retail business. Further, it provides integrated data, technology, business, and user management industry solutions to support the digitization of enterprises and institutions; and technology-driven supply chain solutions and logistics services. The company was formerly known as 360buy Jingdong Inc. and changed its name to JD.com, Inc. in January 2014. JD.com, Inc. was incorporated in 2006 and is headquartered in Beijing, the People's Republic of China."
77,9633.HK,"Nongfu Spring Co., Ltd.",Consumer Defensive,Beverages - Non-Alcoholic,"Hangzhou, China","Nongfu Spring Co., Ltd. researches, develops, produces, and markets packaged drinking water and beverage products primarily in Mainland China. It operates through five segments: Water Products, Ready-To-Drink Tea Products, Functional Drinks Products, Juice Beverage Products, and Other Products. The company also offers ready-to-drink tea beverage beverages; functional drink products; fruit juice products; and other beverage products, soda water, sparkling flavored, lemon juice, and coffee beverages, as well as agricultural products comprising fresh fruits. In addition, it provides supply chain management services, as well as engages in IT research and development. The company was founded in 1996 and is headquartered in Hangzhou, China. Nongfu Spring Co., Ltd. operates as a subsidiary of Yangshengtang Co., Ltd."
78,9888.HK,"Baidu, Inc.",Communication Services,Internet Content & Information,"Beijing, China","Baidu, Inc. provides online marketing and non-marketing value added services through an internet platform in the People's Republic of China. It operates in two segments, Baidu Core and iQIYI. The Baidu Core segment offers search-based, feed-based, and other online marketing services; cloud services; and other products and services based on AI. This segment operates Baidu App that enables users to access search, feed, content, and other services through mobile devices; and Haokan, which allows users to upload, view, search, rate, share, favorite, comment, and follow, as well as offers a range of various user generated and professionally produced short videos. It also provides a portfolio of knowledge and information products, including Baidu Wiki, which features columns and videos, such as encyclopedia of intangible cultural heritage, digital museum and recorder of history; Baidu Knows, an online community where users can pose questions to other users, such as individuals, professionals, and enterprises; Baidu Experience, an online platform where users share daily knowledge and experience; ERNIE Bot; and Baidu Post, a social media that allows users to post text, image, audio and video content, and reply to original curation forming valuable discussion groups. In addition, the company offers Baidu Apollo auto solutions; DuerOS smart assistant for the Chinese language; Apollo Go autonomous ride-hailing service; online marketing services; Baidu Maps, a voice-enabled mobile app providing users with travel-related services; and AI chips. The iQIYI segment operates an online entertainment video platform that offers original, professionally produced, and professional user generated and user-generated content. The company was incorporated in 2000 and is headquartered in Beijing, the People's Republic of China."
79,9901.HK,New Oriental Education & Technology Group Inc.,Consumer Defensive,Education & Training Services,"Beijing, China","New Oriental Education & Technology Group Inc. provides private educational services under the New Oriental brand in the People's Republic of China. The company operates through four segments: Educational Services and Test Preparation Courses; Online Education and Other Services; Overseas Study Consulting Services; and Educational Materials and Distribution. It offers test preparation courses to students taking language and entrance exams used by educational institutions in the United States, the Commonwealth countries, and the People's Republic of China. The company also provides non-academic tutoring courses; intelligent learning systems and devices to offer a digital learning experience for students; and overseas studies consulting services. In addition, it offers online education services through the Koolearn.com platform. Further, the company develops and edits educational materials for language training and test preparation. In addition, it offers educational programs, services, and products to students through schools; learning centers; and bookstores, as well as through its online learning platforms. The company was founded in 1993 and is headquartered in Beijing, the People's Republic of China."
80,9961.HK,Trip.com Group Limited,Consumer Cyclical,Travel Services,"Singapore, Singapore","Trip.com Group Limited, through its subsidiaries, operates as a travel service provider for accommodation reservation, transportation ticketing, packaged tours and in-destination, corporate travel management, and other travel-related services in China and internationally. The company acts as an agent for hotel-related transactions and selling air tickets, as well as provides train, long-distance bus, and ferry tickets; travel insurance products, such as flight delay, air accident, and baggage loss coverage; and air-ticket delivery, online check-in and seat selection, express security screening, real-time flight status tracker, and airport VIP lounge services. It also provides independent leisure travelers bundled packaged-tour products comprising group, semi-group, and customized and packaged tours with various transportation arrangements, including air, cruise, bus, and car rental services. In addition, the company offers integrated transportation and accommodation services; destination transportation and ticket, activity, insurance, visa, and tour guide services; user support, supplier management, and customer relationship management services; and in-destination products and services. Further, It provides its corporate clients with business visit, incentive trip, meeting and conference, travel data collection and analysis, and industry benchmarking solutions; and Corporate Travel Management System, an online platform that integrates information management, online booking and authorization, online inquiry, and travel reporting systems. Additionally, the company offers online advertising and financial services, such as marketing planning and travel media services. It operates under the Ctrip, Qunar, Trip.com, and Skyscanner brands. The company was formerly known as Ctrip.com International, Ltd. and changed its name to Trip.com Group Limited in October 2019. Trip.com Group Limited was founded in 1999 and is based in Singapore."
81,9988.HK,Alibaba Group Holding Limited,Consumer Cyclical,Internet Retail,"Hangzhou, China","Alibaba Group Holding Limited, through its subsidiaries, provides technology infrastructure and marketing reach to help merchants, brands, retailers, and other businesses to engage with their users and customers in the People's Republic of China and internationally. The company operates through seven segments: China Commerce, International Commerce, Local Consumer Services, Cainiao, Cloud, Digital Media and Entertainment, and Innovation Initiatives and Others. It operates Taobao and Tmall, which are digital retail platforms; Alimama, a proprietary monetization platform; 1688.com and Alibaba.com, which are online wholesale marketplaces; AliExpress, a retail marketplace; Lazada, Trendyol, and Daraz that are e-commerce platforms; Freshippo, a retail platform for groceries and fresh goods; and Tmall Global, an import e-commerce platform. The company also operates Cainiao Network logistic services platform; Ele.me, an on-demand delivery and local services platform; Koubei, a restaurant and local services guide platform; and Fliggy, an online travel platform. In addition, it offers pay-for-performance, in-feed, and display marketing services; and Taobao Ad Network and Exchange, a real-time online bidding marketing exchange. Further, the company provides elastic computing, storage, network, security, database, big data, and IoT services; and hardware, software license, software installation, and application development and maintenance services. Additionally, it operates Youku, an online video platform; Quark, a platform for information search, storage, and consumption; Alibaba Pictures and other content platforms that provide online videos, films, live events, news feeds, literature, music, and others; Amap, a mobile digital map, navigation, and real-time traffic information app; DingTalk, a business efficiency mobile app; Tmall Genie smart speaker; and Qwen, an artificial intelligence chatbot. The company was incorporated in 1999 and is based in Hangzhou, the People's Republic of China."
82,9999.HK,"NetEase, Inc.",Communication Services,Electronic Gaming & Multimedia,"Hangzhou, China","NetEase, Inc. engages in online games, music streaming, online intelligent learning services, and internet content services businesses in China and internationally. The company operates through Games and Related Value-Added Services; Youdao; Cloud Music; and Innovative Businesses and Others segments. It develops and operates PC and mobile games, as well as offers games licensed from other game developers. The company's products and services include Youdao Dictionary, an online knowledge tool; Youdao Translation, a tool specifically designed to support translation needs of business and leisure travelers; U-Dictionary, an online dictionary and translation app; Youdao Kids' Dictionary, a smart and fun tool; smart devices, such as Youdao Dictionary Pen, Youdao Smart Learning Pad, and Youdao Listening Pod; online courses; interactive learning apps; and education digitalization solutions, such as Youdao Smart Learning Terminal, a device that automates paper-based homework processing; Youdao Smart Cloud, a cloud-based platform that allows third-party app developers, smart device brands, and manufacturers to the company's OCR capabilities; and Youdao Sports, a sports-centric educational system. Its products and services include NetEase Cloud Music, a music streaming platform; Yanxuan, an e-commerce platform, which sells private label products; www.163.com portal and related mobile app, Wangyi Xinwen, which deliver information such as news, sports events, technology, fashion trends, and online entertainment; NetEase Mail, an email service; NetEase CC Live streaming, a live streaming platform with a focus on game broadcasting; and NetEase Pay, a payment platform. The company was formerly known as NetEase.com, Inc. and changed its name to NetEase, Inc. in March 2012. NetEase, Inc. was founded in 1997 and is headquartered in Hangzhou, the People's Republic of China."
